InvoiceNumber,SupplierID,InvoiceDate,InvoiceAmount,DueDate,PaymentDate,PaymentAmount,PaymentTerms,InvoiceStatus,DaysToPay
INV00198,SUP043,2023-07-17,3131,2023-09-04,2023-09-11,3131,Net 30,Paid,56
INV00360,SUP053,2023-12-26,3969,2024-02-23,2024-02-23,3969,Net 60,Paid,59
INV00301,SUP015,2023-10-28,2527,2023-12-18,2023-12-18,2527,Net 60,Pending,51
INV00567,SUP097,2024-07-20,5501,2024-09-11,2024-09-12,5501,Net 30,Paid,54
INV00683,SUP043,2024-11-13,3619,2025-01-08,2025-01-12,3619,Net 60,Pending,60
INV00745,SUP095,2025-01-14,9291,2025-02-23,2025-03-02,9291,Net 45,Pending,47
INV00572,SUP024,2024-07-25,4948,2024-09-16,2024-09-17,4948,Net 60,Pending,54
INV00699,SUP042,2024-11-29,1452,2025-01-06,2025-01-08,1452,Net 30,Pending,40
INV00972,SUP093,2025-08-29,993,2025-10-26,2025-10-28,993,Net 30,Paid,60
INV00631,SUP097,2024-09-22,6332,2024-10-23,2024-10-27,6332,Net 60,Pending,35
INV00486,SUP044,2024-04-30,1771,2024-06-11,2024-06-13,1771,Net 45,Paid,44
INV00564,SUP081,2024-07-17,2010,2024-09-02,2024-09-03,2010,Net 45,Pending,48
INV00062,SUP098,2023-03-03,7073,2023-04-21,2023-04-28,7073,Net 45,Paid,56
INV00192,SUP054,2023-07-11,402,2023-09-08,2023-09-08,402,Net 45,Paid,59
INV00686,SUP013,2024-11-16,449,2025-01-01,2025-01-03,449,Net 45,Paid,48
INV00202,SUP096,2023-07-21,2130,2023-09-12,2023-09-14,2130,Net 30,Paid,55
INV00307,SUP093,2023-11-03,5288,2023-12-17,2023-12-25,5288,Net 30,Pending,52
INV00733,SUP058,2025-01-02,4500,2025-02-03,2025-02-06,4500,Net 45,Paid,35
INV00722,SUP024,2024-12-22,7243,2025-02-15,2025-02-16,7243,Net 45,Paid,56
INV00814,SUP076,2025-03-24,7761,2025-05-13,2025-05-15,7761,Net 30,Paid,52
INV00264,SUP051,2023-09-21,4693,2023-10-27,2023-10-31,4693,Net 30,Paid,40
INV00049,SUP004,2023-02-18,7299,2023-04-12,2023-04-15,7299,Net 30,Pending,56
INV00370,SUP057,2024-01-05,5891,2024-02-19,2024-02-27,5891,Net 30,Paid,53
INV00634,SUP008,2024-09-25,1124,2024-11-06,2024-11-07,1124,Net 60,Paid,43
INV00854,SUP017,2025-05-03,5760,2025-06-12,2025-06-17,5760,Net 45,Paid,45
INV00419,SUP096,2024-02-23,2944,2024-04-04,2024-04-09,2944,Net 30,Pending,46
INV00446,SUP062,2024-03-21,9960,2024-05-19,2024-05-28,9960,Net 45,Pending,68
INV00904,SUP081,2025-06-22,8207,2025-08-12,2025-08-12,8207,Net 30,Pending,51
INV00082,SUP059,2023-03-23,8884,2023-05-21,2023-05-25,8884,Net 45,Pending,63
INV00862,SUP045,2025-05-11,4408,2025-06-23,2025-06-27,4408,Net 45,Paid,47
INV00059,SUP009,2023-02-28,4043,2023-04-15,2023-04-19,4043,Net 30,Pending,50
INV00519,SUP063,2024-06-02,5788,2024-07-25,2024-07-30,5788,Net 45,Pending,58
INV00428,SUP088,2024-03-03,6081,2024-04-24,2024-04-29,6081,Net 60,Paid,57
INV00687,SUP052,2024-11-17,9065,2024-12-24,2024-12-29,9065,Net 60,Pending,42
INV00548,SUP069,2024-07-01,2881,2024-08-04,2024-08-05,2881,Net 45,Pending,35
INV00473,SUP032,2024-04-17,9908,2024-05-28,2024-06-03,9908,Net 60,Pending,47
INV00398,SUP084,2024-02-02,2131,2024-03-11,2024-03-16,2131,Net 30,Pending,43
INV00581,SUP090,2024-08-03,3272,2024-09-12,2024-09-16,3272,Net 45,Pending,44
INV00485,SUP076,2024-04-29,4279,2024-05-31,2024-06-06,4279,Net 30,Pending,38
INV00571,SUP017,2024-07-24,4468,2024-09-04,2024-09-10,4468,Net 60,Paid,48
INV00097,SUP090,2023-04-07,6092,2023-05-08,2023-05-10,6092,Net 60,Paid,33
INV00659,SUP054,2024-10-20,1833,2024-11-23,2024-11-29,1833,Net 60,Paid,40
INV00024,SUP036,2023-01-24,2758,2023-02-25,2023-02-27,2758,Net 60,Paid,34
INV00282,SUP082,2023-10-09,6095,2023-11-26,2023-11-28,6095,Net 30,Paid,50
INV00205,SUP067,2023-07-24,9539,2023-09-21,2023-09-28,9539,Net 30,Pending,66
INV00380,SUP064,2024-01-15,7166,2024-02-22,2024-02-24,7166,Net 30,Paid,40
INV00407,SUP064,2024-02-11,7604,2024-04-10,2024-04-14,7604,Net 60,Pending,63
INV00143,SUP096,2023-05-23,6115,2023-07-06,2023-07-15,6115,Net 60,Paid,53
INV00166,SUP001,2023-06-15,1695,2023-08-06,2023-08-14,1695,Net 30,Paid,60
INV00504,SUP006,2024-05-18,595,2024-07-11,2024-07-16,595,Net 45,Pending,59
INV00442,SUP024,2024-03-17,1051,2024-05-01,2024-05-03,1051,Net 30,Paid,47
INV00470,SUP039,2024-04-14,1025,2024-06-07,2024-06-08,1025,Net 30,Paid,55
INV00855,SUP017,2025-05-04,4489,2025-06-15,2025-06-23,4489,Net 45,Pending,50
INV00866,SUP072,2025-05-15,9965,2025-06-26,2025-07-02,9965,Net 60,Pending,48
INV00541,SUP003,2024-06-24,2739,2024-08-18,2024-08-21,2739,Net 45,Pending,58
INV00481,SUP077,2024-04-25,2704,2024-05-29,2024-05-30,2704,Net 60,Pending,35
