SaleID,CustomerID,SaleDate,SaleAmount,ProductID,QuantitySold,UnitPrice,TotalValue,PaymentMethod,SaleStatus,Customer ID,Invoice Date,Invoice Amount,Due Date,Payment Date,Payment Amount,Payment Terms,Invoice Status,TransactionID,TransactionDate,TransactionType,Amount,Category,Description
SALE00001,CUST010,2023-01-01,73700,PROD0165,100,95.14,9514.0,Credit Card,Pending,CUST010,2023-09-01 22:54:21,55289.66,2023-04-25 17:19:03,2023-01-30 05:16:10,65133.63,Net 60,Paid,TXN00001,2023-01-01,Cash Inflow,153370,Investing Activities,Transaction 1
SALE00002,CUST044,2023-01-02,5760,PROD0027,114,387.72,44200.08,Bank Transfer,Completed,CUST044,2023-12-11 11:24:07,17892.84,2023-09-29 16:08:30,2023-09-10 09:54:40,23899.73,Net 30,Outstanding,TXN00002,2023-01-02,Cash Outflow,46872,Investing Activities,Transaction 2
SALE00003,CUST011,2023-01-03,43920,PROD0311,136,474.18,64488.48,Credit Card,Pending,CUST011,2023-07-22 05:12:44,38055.71,2023-02-25 05:52:24,2023-05-25 02:32:13,31996.71,Net 60,Paid,TXN00003,2023-01-03,Cash Inflow,46560,Operating Activities,Transaction 3
SALE00004,CUST079,2023-01-04,81108,PROD0500,126,91.53,11532.78,Bank Transfer,Pending,CUST079,2023-09-11 04:17:06,26711.420000000002,2023-07-19 22:43:21,2023-01-24 01:12:20,20850.58,Net 60,Paid,TXN00004,2023-01-04,Cash Inflow,82296,Financing Activities,Transaction 4
SALE00005,CUST080,2023-01-05,47619,PROD0285,126,387.78,48860.28,Credit Card,Completed,CUST080,2023-12-05 18:02:18,54176.76,2023-11-05 19:18:59,2023-04-18 00:34:45,53505.47,Net 30,Paid,TXN00005,2023-01-05,Cash Inflow,29511,Operating Activities,Transaction 5
SALE00006,CUST081,2023-01-06,132704,PROD0148,99,357.2,35362.8,Bank Transfer,Pending,CUST081,2023-12-30 17:33:00,58854.659999999996,2023-01-07 09:44:16,2023-03-19 17:50:26,65939.7,Net 90,Outstanding,TXN00006,2023-01-06,Cash Outflow,195888,Investing Activities,Transaction 6
SALE00007,CUST090,2023-01-07,113840,PROD0281,460,242.05,111343.0,Cash,Completed,CUST090,2023-07-01 12:04:04,63180.81,2023-07-13 08:03:55,2023-06-21 12:18:12,51508.06,Net 90,Outstanding,TXN00007,2023-01-07,Cash Inflow,20810,Operating Activities,Transaction 7
SALE00008,CUST002,2023-01-08,40838,PROD0326,7,38.38,268.66,Bank Transfer,Completed,CUST002,2023-03-20 10:16:17,43494.44,2023-05-23 04:07:55,2023-01-08 00:56:00,36240.490000000005,Net 30,Outstanding,TXN00008,2023-01-08,Cash Inflow,92239,Investing Activities,Transaction 8
SALE00009,CUST050,2023-01-09,89110,PROD0319,630,46.6,29358.0,Credit Card,Completed,CUST050,2023-08-28 11:57:50,78683.42,2023-08-10 07:49:58,2023-08-24 11:03:20,81790.71,Net 30,Outstanding,TXN00009,2023-01-09,Cash Inflow,86982,Investing Activities,Transaction 9
SALE00010,CUST012,2023-01-10,7358,PROD0164,169,427.68,72277.92,Cash,Completed,CUST012,2023-03-20 01:11:23,64339.85,2023-05-14 13:10:16,2023-07-25 13:38:27,71643.98,Net 90,Paid,TXN00010,2023-01-10,Cash Outflow,222807,Financing Activities,Transaction 10
SALE00011,CUST090,2023-01-11,136260,PROD0386,40,495.17,19806.8,Bank Transfer,Completed,CUST090,2023-07-01 12:04:04,63180.81,2023-07-13 08:03:55,2023-06-21 12:18:12,51508.06,Net 90,Outstanding,TXN00011,2023-01-11,Cash Inflow,53040,Investing Activities,Transaction 11
SALE00012,CUST023,2023-01-12,49786,PROD0406,11,341.27,3753.97,Bank Transfer,Pending,CUST023,2023-09-15 02:41:16,61594.92,2023-11-23 06:02:33,2023-12-16 04:06:27,46022.24,Net 90,Outstanding,TXN00012,2023-01-12,Cash Inflow,205942,Investing Activities,Transaction 12
SALE00013,CUST018,2023-01-13,62458,PROD0224,539,228.52,123172.28,Bank Transfer,Completed,CUST018,2023-12-18 18:13:51,55292.41,2023-10-19 10:12:28,2023-07-23 13:36:57,58203.32,Net 30,Outstanding,TXN00013,2023-01-13,Cash Inflow,116996,Financing Activities,Transaction 13
SALE00014,CUST062,2023-01-14,159753,PROD0272,440,327.31,144016.4,Bank Transfer,Completed,CUST062,2023-11-18 10:27:54,61982.12,2023-06-11 20:16:32,2023-01-08 17:20:24,59561.68,Net 30,Paid,TXN00014,2023-01-14,Cash Inflow,5599,Investing Activities,Transaction 14
SALE00015,CUST096,2023-01-15,199512,PROD0146,544,301.25,163880.0,Bank Transfer,Pending,CUST096,2023-02-02 14:29:12,98274.66,2023-05-11 17:02:36,2023-04-10 11:27:35,96684.33,Net 60,Paid,TXN00015,2023-01-15,Cash Outflow,335835,Financing Activities,Transaction 15
SALE00016,CUST062,2023-01-16,126093,PROD0453,374,197.97,74040.78,Cash,Pending,CUST062,2023-11-18 10:27:54,61982.12,2023-06-11 20:16:32,2023-01-08 17:20:24,59561.68,Net 30,Paid,TXN00016,2023-01-16,Cash Inflow,61864,Financing Activities,Transaction 16
SALE00017,CUST038,2023-01-17,168165,PROD0438,420,42.16,17707.2,Cash,Pending,CUST038,2023-08-17 08:05:56,77342.49,2023-04-26 12:38:49,2023-08-09 22:21:56,80071.72,Net 30,Outstanding,TXN00017,2023-01-17,Cash Outflow,22725,Investing Activities,Transaction 17
SALE00018,CUST067,2023-01-18,67376,PROD0356,248,412.54,102309.92,Cash,Completed,CUST067,2023-08-13 07:52:58,39448.68,2023-06-17 06:52:49,2023-07-15 21:24:58,34502.35,Net 30,Outstanding,TXN00018,2023-01-18,Cash Outflow,21544,Investing Activities,Transaction 18
SALE00019,CUST038,2023-01-19,26775,PROD0030,120,192.2,23064.0,Cash,Completed,CUST038,2023-08-17 08:05:56,77342.49,2023-04-26 12:38:49,2023-08-09 22:21:56,80071.72,Net 30,Outstanding,TXN00019,2023-01-19,Cash Outflow,133725,Operating Activities,Transaction 19
SALE00020,CUST067,2023-01-20,6952,PROD0045,312,411.2,128294.4,Credit Card,Completed,CUST067,2023-08-13 07:52:58,39448.68,2023-06-17 06:52:49,2023-07-15 21:24:58,34502.35,Net 30,Outstanding,TXN00020,2023-01-20,Cash Inflow,112400,Financing Activities,Transaction 20
SALE00021,CUST094,2023-01-21,138879,PROD0275,338,133.73,45200.74,Cash,Pending,CUST094,2023-06-05 06:35:14,76021.94,2023-03-16 19:11:06,2023-05-02 04:23:12,78405.37,Net 60,Outstanding,TXN00021,2023-01-21,Cash Outflow,195156,Operating Activities,Transaction 21
SALE00022,CUST061,2023-01-22,139030,PROD0471,340,10.5,3570.0,Bank Transfer,Completed,CUST061,2023-06-28 03:43:27,49205.41,2023-08-15 17:51:47,2023-01-15 02:23:41,60727.63,Net 90,Outstanding,TXN00022,2023-01-22,Cash Inflow,46580,Investing Activities,Transaction 22
SALE00023,CUST001,2023-01-23,77539,PROD0034,33,87.88,2900.04,Bank Transfer,Pending,CUST001,2023-01-19 03:13:53,34792.41,2023-09-16 23:10:00,2023-11-15 22:11:25,34519.6,Net 60,Paid,TXN00023,2023-01-23,Cash Outflow,82170,Operating Activities,Transaction 23
SALE00024,CUST094,2023-01-24,32929,PROD0141,156,239.58,37374.48,Cash,Completed,CUST094,2023-06-05 06:35:14,76021.94,2023-03-16 19:11:06,2023-05-02 04:23:12,78405.37,Net 60,Outstanding,TXN00024,2023-01-24,Cash Outflow,96694,Financing Activities,Transaction 24
SALE00025,CUST045,2023-01-25,32466,PROD0427,6,472.71,2836.2599999999998,Bank Transfer,Pending,CUST045,2023-05-02 07:18:53,15444.67,2023-01-28 00:26:41,2023-09-15 18:18:22,21759.89,Net 90,Paid,TXN00025,2023-01-25,Cash Outflow,85632,Operating Activities,Transaction 25
SALE00026,CUST096,2023-01-26,87567,PROD0318,748,60.07,44932.36,Cash,Completed,CUST096,2023-02-02 14:29:12,98274.66,2023-05-11 17:02:36,2023-04-10 11:27:35,96684.33,Net 60,Paid,TXN00026,2023-01-26,Cash Outflow,314789,Financing Activities,Transaction 26
SALE00027,CUST028,2023-01-27,71720,PROD0374,55,428.56,23570.800000000003,Bank Transfer,Completed,CUST028,2023-09-12 17:54:08,40126.62,2023-01-11 07:09:55,2023-06-23 11:32:02,49207.75,Net 60,Outstanding,TXN00027,2023-01-27,Cash Outflow,119284,Investing Activities,Transaction 27
SALE00028,CUST021,2023-01-28,19260,PROD0221,450,268.24,120708.00000000001,Credit Card,Completed,CUST021,2023-04-02 00:10:16,89729.16,2023-07-09 01:14:47,2023-10-16 23:49:10,79997.27,Net 60,Paid,TXN00028,2023-01-28,Cash Outflow,116490,Investing Activities,Transaction 28
SALE00029,CUST013,2023-01-29,27930,PROD0356,180,414.7,74646.0,Credit Card,Pending,CUST013,2023-06-29 03:39:26,28898.899999999998,2023-08-18 21:42:43,2023-05-31 08:53:46,27185.260000000002,Net 90,Paid,TXN00029,2023-01-29,Cash Outflow,55212,Financing Activities,Transaction 29
SALE00030,CUST027,2023-01-30,48790,PROD0022,238,156.2,37175.6,Cash,Pending,CUST027,2023-08-02 18:43:38,84024.76,2023-11-27 12:19:32,2023-06-03 23:17:51,75951.49,Net 90,Outstanding,TXN00030,2023-01-30,Cash Outflow,12376,Investing Activities,Transaction 30
SALE00031,CUST100,2023-01-31,74454,PROD0180,288,421.57,121412.16,Cash,Completed,CUST100,2023-07-14 02:07:22,31620.24,2023-03-26 14:57:35,2023-10-05 10:20:35,29781.05,Net 60,Paid,TXN00031,2023-01-31,Cash Inflow,5424,Investing Activities,Transaction 31
SALE00032,CUST007,2023-02-01,84448,PROD0436,611,388.68,237483.47999999998,Cash,Completed,CUST007,2023-05-17 08:15:52,75486.02,2023-05-15 06:01:00,2023-08-20 18:30:09,87075.77,Net 90,Paid,TXN00032,2023-02-01,Cash Inflow,112775,Investing Activities,Transaction 32
SALE00033,CUST022,2023-02-02,105080,PROD0367,184,122.73,22582.32,Bank Transfer,Completed,CUST022,2023-02-07 15:35:30,45090.32,2023-04-15 13:43:15,2023-06-02 18:48:59,47396.95,Net 90,Paid,TXN00033,2023-02-02,Cash Outflow,125264,Investing Activities,Transaction 33
SALE00034,CUST074,2023-02-03,67176,PROD0420,90,74.35,6691.5,Cash,Pending,CUST074,2023-05-15 19:55:21,29881.460000000003,2023-04-13 00:12:57,2023-07-10 18:30:46,27693.14,Net 30,Outstanding,TXN00034,2023-02-03,Cash Outflow,79578,Financing Activities,Transaction 34
SALE00035,CUST053,2023-02-04,87660,PROD0329,370,435.35,161079.5,Credit Card,Completed,CUST053,2023-08-10 20:28:43,62128.03,2023-02-01 19:11:25,2023-05-31 11:24:48,50952.21,Net 60,Outstanding,TXN00035,2023-02-04,Cash Outflow,188840,Operating Activities,Transaction 35
SALE00036,CUST079,2023-02-05,56244,PROD0231,126,481.99,60730.740000000005,Bank Transfer,Completed,CUST079,2023-09-11 04:17:06,26711.420000000002,2023-07-19 22:43:21,2023-01-24 01:12:20,20850.58,Net 60,Paid,TXN00036,2023-02-05,Cash Inflow,62160,Operating Activities,Transaction 36
SALE00037,CUST079,2023-02-06,15948,PROD0499,84,25.34,2128.56,Cash,Completed,CUST079,2023-09-11 04:17:06,26711.420000000002,2023-07-19 22:43:21,2023-01-24 01:12:20,20850.58,Net 60,Paid,TXN00037,2023-02-06,Cash Outflow,38934,Investing Activities,Transaction 37
SALE00038,CUST004,2023-02-07,111286,PROD0403,28,368.32,10312.96,Bank Transfer,Completed,CUST004,2023-05-22 06:06:13,91738.51,2023-02-28 20:37:09,2023-04-08 15:53:46,71592.7,Net 30,Paid,TXN00038,2023-02-07,Cash Inflow,218484,Operating Activities,Transaction 38
SALE00039,CUST096,2023-02-08,36499,PROD0038,187,455.67,85210.29,Bank Transfer,Pending,CUST096,2023-02-02 14:29:12,98274.66,2023-05-11 17:02:36,2023-04-10 11:27:35,96684.33,Net 60,Paid,TXN00039,2023-02-08,Cash Inflow,311848,Operating Activities,Transaction 39
SALE00040,CUST023,2023-02-09,31317,PROD0070,429,430.11,184517.19,Cash,Pending,CUST023,2023-09-15 02:41:16,61594.92,2023-11-23 06:02:33,2023-12-16 04:06:27,46022.24,Net 90,Outstanding,TXN00040,2023-02-09,Cash Inflow,45496,Investing Activities,Transaction 40
SALE00041,CUST070,2023-02-10,92670,PROD0116,380,482.62,183395.6,Bank Transfer,Completed,CUST070,2023-02-15 14:04:40,65922.88,2023-04-21 02:47:20,2023-11-06 23:48:04,54766.74,Net 90,Paid,TXN00041,2023-02-10,Cash Inflow,114160,Investing Activities,Transaction 41
SALE00042,CUST088,2023-02-11,181764,PROD0239,612,382.45,234059.4,Credit Card,Completed,CUST088,2023-11-07 17:40:46,93185.69,2023-08-10 22:09:08,2023-08-29 06:24:06,80130.38,Net 90,Paid,TXN00042,2023-02-11,Cash Inflow,95562,Operating Activities,Transaction 42
SALE00043,CUST084,2023-02-12,2023,PROD0335,266,226.73,60310.18,Credit Card,Pending,CUST084,2023-04-11 07:27:54,38249.73,2023-05-13 16:01:19,2023-02-21 04:00:22,47072.64,Net 60,Paid,TXN00043,2023-02-12,Cash Outflow,97692,Financing Activities,Transaction 43
