SaleID,CustomerID,SaleDate,SaleAmount,ProductID,QuantitySold,UnitPrice,TotalValue,PaymentMethod,SaleStatus
SALE00240,CUST056,2023-08-28,13036,PROD0356,49,245.15,12012.35,Credit Card,Pending
SALE00821,CUST028,2025-03-31,12011,PROD0249,4,220.15,880.6,Cash,Completed
SALE00476,CUST013,2024-04-20,10357,PROD0007,22,437.93,9634.460000000001,Cash,Pending
SALE00981,CUST076,2025-09-07,4100,PROD0450,34,134.45,4571.299999999999,Credit Card,Pending
SALE00277,CUST010,2023-10-04,7492,PROD0015,49,292.82,14348.18,Cash,Pending
SALE00635,CUST048,2024-09-26,6584,PROD0012,27,337.0,9099.0,Bank Transfer,Pending
SALE00249,CUST084,2023-09-06,12035,PROD0294,36,270.8,9748.800000000001,Cash,Completed
SALE00979,CUST093,2025-09-05,4884,PROD0028,40,405.04,16201.6,Credit Card,Completed
SALE00680,CUST005,2024-11-10,5636,PROD0022,26,141.97,3691.22,Credit Card,Pending
SALE00414,CUST038,2024-02-18,4655,PROD0207,28,326.19,9133.32,Cash,Pending
SALE00504,CUST001,2024-05-18,5901,PROD0451,30,450.15,13504.5,Cash,Completed
SALE00243,CUST053,2023-08-31,13645,PROD0096,1,168.33,168.33,Cash,Pending
SALE00469,CUST089,2024-04-13,1080,PROD0441,49,196.65,9635.85,Bank Transfer,Completed
SALE00694,CUST030,2024-11-24,11066,PROD0167,3,61.91,185.73,Bank Transfer,Completed
SALE00901,CUST083,2025-06-19,9688,PROD0126,25,401.19,10029.75,Bank Transfer,Pending
SALE00210,CUST013,2023-07-29,9889,PROD0015,37,338.0,12506.0,Credit Card,Pending
SALE00850,CUST069,2025-04-29,4949,PROD0461,29,484.0,14036.0,Credit Card,Completed
SALE00558,CUST028,2024-07-11,5415,PROD0178,21,482.27,10127.67,Cash,Completed
SALE00280,CUST015,2023-10-07,14049,PROD0169,14,306.43,4290.02,Bank Transfer,Completed
SALE00940,CUST018,2025-07-28,7991,PROD0313,48,69.99,3359.5199999999995,Bank Transfer,Pending
SALE00673,CUST010,2024-11-03,4100,PROD0379,35,489.41,17129.350000000002,Credit Card,Pending
SALE00891,CUST009,2025-06-09,14070,PROD0037,29,135.19,3920.5099999999998,Cash,Pending
SALE00091,CUST095,2023-04-01,9792,PROD0472,32,81.5,2608.0,Credit Card,Pending
SALE00666,CUST092,2024-10-27,951,PROD0417,22,339.01,7458.219999999999,Bank Transfer,Completed
SALE00356,CUST032,2023-12-22,4648,PROD0326,33,154.69,5104.7699999999995,Bank Transfer,Pending
SALE00138,CUST024,2023-05-18,491,PROD0012,45,311.71,14026.949999999999,Cash,Completed
SALE00809,CUST037,2025-03-19,1291,PROD0056,30,205.43,6162.900000000001,Cash,Completed
SALE00754,CUST013,2025-01-23,14612,PROD0316,39,321.88,12553.32,Cash,Pending
SALE00783,CUST015,2025-02-21,2256,PROD0494,33,490.03,16170.99,Cash,Pending
SALE00309,CUST064,2023-11-05,4382,PROD0397,18,297.66,5357.88,Credit Card,Completed
SALE00406,CUST094,2024-02-10,6115,PROD0137,36,17.75,639.0,Bank Transfer,Pending
SALE00393,CUST095,2024-01-28,11526,PROD0211,43,122.82,5281.259999999999,Bank Transfer,Completed
SALE00417,CUST062,2024-02-21,12857,PROD0462,29,189.81,5504.49,Credit Card,Completed
SALE00881,CUST086,2025-05-30,5010,PROD0444,25,253.66,6341.5,Cash,Completed
SALE00323,CUST010,2023-11-19,3011,PROD0219,33,243.58,8038.14,Bank Transfer,Pending
SALE00196,CUST033,2023-07-15,6992,PROD0060,21,329.54,6920.34,Bank Transfer,Pending
SALE00244,CUST087,2023-09-01,13071,PROD0417,26,486.82,12657.32,Bank Transfer,Pending
SALE00133,CUST025,2023-05-13,2795,PROD0306,28,224.92,6297.759999999999,Credit Card,Pending
SALE00245,CUST088,2023-09-02,763,PROD0429,14,294.25,4119.5,Bank Transfer,Completed
SALE00311,CUST088,2023-11-07,2611,PROD0212,8,324.86,2598.88,Cash,Pending
SALE00397,CUST072,2024-02-01,12359,PROD0298,40,319.69,12787.6,Credit Card,Pending
SALE00533,CUST085,2024-06-16,10274,PROD0330,33,155.7,5138.099999999999,Credit Card,Completed
SALE00303,CUST036,2023-10-30,2030,PROD0110,26,196.41,5106.66,Bank Transfer,Completed
SALE00077,CUST048,2023-03-18,8326,PROD0341,16,222.29,3556.64,Credit Card,Pending
SALE00632,CUST087,2024-09-23,10557,PROD0033,27,393.42,10622.34,Credit Card,Completed
SALE00201,CUST040,2023-07-20,6768,PROD0164,30,298.32,8949.6,Credit Card,Completed
SALE00877,CUST041,2025-05-26,3727,PROD0076,35,64.85,2269.75,Credit Card,Pending
SALE00849,CUST023,2025-04-28,4848,PROD0495,20,474.05,9481.0,Credit Card,Completed
SALE00060,CUST046,2023-03-01,8892,PROD0477,10,18.75,187.5,Credit Card,Pending
SALE00437,CUST085,2024-03-12,11359,PROD0232,9,294.43,2649.87,Bank Transfer,Pending
SALE00674,CUST089,2024-11-04,5152,PROD0210,43,376.61,16194.230000000001,Bank Transfer,Completed
