TransactionID,TransactionDate,TransactionType,Amount,Category,Description
TXN00923,2025-07-11,Cash Inflow,9405,Operating Activities,Transaction 923
TXN00090,2023-03-31,Cash Outflow,17021,Investing Activities,Transaction 90
TXN00790,2025-02-28,Cash Inflow,16577,Financing Activities,Transaction 790
TXN00703,2024-12-03,Cash Inflow,12093,Investing Activities,Transaction 703
TXN00715,2024-12-15,Cash Outflow,19620,Investing Activities,Transaction 715
TXN00253,2023-09-10,Cash Outflow,10365,Financing Activities,Transaction 253
TXN00186,2023-07-05,Cash Inflow,17116,Financing Activities,Transaction 186
TXN00358,2023-12-24,Cash Outflow,1314,Operating Activities,Transaction 358
TXN00856,2025-05-05,Cash Inflow,16633,Investing Activities,Transaction 856
TXN00355,2023-12-21,Cash Outflow,11289,Operating Activities,Transaction 355
TXN00827,2025-04-06,Cash Inflow,17570,Investing Activities,Transaction 827
TXN00720,2024-12-20,Cash Outflow,8157,Financing Activities,Transaction 720
TXN00185,2023-07-04,Cash Inflow,8758,Operating Activities,Transaction 185
TXN00328,2023-11-24,Cash Inflow,5873,Investing Activities,Transaction 328
TXN00244,2023-09-01,Cash Inflow,10265,Operating Activities,Transaction 244
TXN00686,2024-11-16,Cash Outflow,10733,Financing Activities,Transaction 686
TXN00950,2025-08-07,Cash Inflow,3889,Investing Activities,Transaction 950
TXN00263,2023-09-20,Cash Inflow,19708,Financing Activities,Transaction 263
TXN00033,2023-02-02,Cash Outflow,15658,Investing Activities,Transaction 33
TXN00322,2023-11-18,Cash Inflow,19088,Operating Activities,Transaction 322
TXN00689,2024-11-19,Cash Inflow,9630,Financing Activities,Transaction 689
TXN00006,2023-01-06,Cash Outflow,17808,Investing Activities,Transaction 6
TXN00677,2024-11-07,Cash Outflow,645,Financing Activities,Transaction 677
TXN00900,2025-06-18,Cash Inflow,5609,Financing Activities,Transaction 900
TXN00368,2024-01-03,Cash Outflow,1327,Investing Activities,Transaction 368
TXN00015,2023-01-15,Cash Outflow,19755,Financing Activities,Transaction 15
TXN00095,2023-04-05,Cash Outflow,6069,Investing Activities,Transaction 95
TXN00713,2024-12-13,Cash Inflow,7714,Investing Activities,Transaction 713
TXN00852,2025-05-01,Cash Outflow,15583,Investing Activities,Transaction 852
TXN00766,2025-02-04,Cash Inflow,19267,Investing Activities,Transaction 766
TXN00918,2025-07-06,Cash Outflow,16322,Operating Activities,Transaction 918
TXN00849,2025-04-28,Cash Inflow,12222,Operating Activities,Transaction 849
TXN00975,2025-09-01,Cash Outflow,2856,Investing Activities,Transaction 975
TXN00639,2024-09-30,Cash Outflow,8730,Operating Activities,Transaction 639
TXN00965,2025-08-22,Cash Inflow,15849,Operating Activities,Transaction 965
TXN00229,2023-08-17,Cash Inflow,1346,Investing Activities,Transaction 229
TXN00345,2023-12-11,Cash Inflow,16978,Financing Activities,Transaction 345
TXN00389,2024-01-24,Cash Inflow,19914,Financing Activities,Transaction 389
TXN00146,2023-05-26,Cash Inflow,8650,Financing Activities,Transaction 146
TXN00753,2025-01-22,Cash Outflow,13380,Operating Activities,Transaction 753
TXN00641,2024-10-02,Cash Outflow,12279,Operating Activities,Transaction 641
TXN00822,2025-04-01,Cash Outflow,19636,Operating Activities,Transaction 822
TXN00958,2025-08-15,Cash Inflow,16905,Investing Activities,Transaction 958
TXN00029,2023-01-29,Cash Outflow,9202,Financing Activities,Transaction 29
TXN00924,2025-07-12,Cash Inflow,9627,Financing Activities,Transaction 924
TXN00256,2023-09-13,Cash Inflow,18944,Financing Activities,Transaction 256
TXN00602,2024-08-24,Cash Outflow,19592,Investing Activities,Transaction 602
TXN00606,2024-08-28,Cash Inflow,7619,Financing Activities,Transaction 606
TXN00864,2025-05-13,Cash Outflow,2480,Investing Activities,Transaction 864
TXN00463,2024-04-07,Cash Outflow,17716,Operating Activities,Transaction 463
TXN00780,2025-02-18,Cash Inflow,16870,Financing Activities,Transaction 780
TXN00548,2024-07-01,Cash Outflow,3528,Operating Activities,Transaction 548
TXN00180,2023-06-29,Cash Inflow,4096,Operating Activities,Transaction 180
TXN00237,2023-08-25,Cash Outflow,13319,Investing Activities,Transaction 237
TXN00085,2023-03-26,Cash Inflow,5354,Operating Activities,Transaction 85
TXN00732,2025-01-01,Cash Inflow,18524,Financing Activities,Transaction 732
TXN00187,2023-07-06,Cash Outflow,6871,Operating Activities,Transaction 187
TXN00570,2024-07-23,Cash Inflow,6622,Financing Activities,Transaction 570
TXN00331,2023-11-27,Cash Inflow,5112,Investing Activities,Transaction 331
TXN00819,2025-03-29,Cash Outflow,15359,Investing Activities,Transaction 819
TXN00594,2024-08-16,Cash Outflow,3504,Operating Activities,Transaction 594
TXN00891,2025-06-09,Cash Inflow,3724,Operating Activities,Transaction 891
TXN00591,2024-08-13,Cash Inflow,16814,Operating Activities,Transaction 591
TXN00974,2025-08-31,Cash Inflow,12394,Investing Activities,Transaction 974
TXN00409,2024-02-13,Cash Outflow,4100,Financing Activities,Transaction 409
TXN00734,2025-01-03,Cash Outflow,11374,Operating Activities,Transaction 734
TXN00080,2023-03-21,Cash Outflow,7441,Operating Activities,Transaction 80
TXN00671,2024-11-01,Cash Inflow,13176,Operating Activities,Transaction 671
TXN00200,2023-07-19,Cash Inflow,11054,Financing Activities,Transaction 200
TXN00627,2024-09-18,Cash Inflow,3794,Financing Activities,Transaction 627
TXN00535,2024-06-18,Cash Inflow,16488,Investing Activities,Transaction 535
TXN00209,2023-07-28,Cash Outflow,12113,Operating Activities,Transaction 209
TXN00745,2025-01-14,Cash Inflow,4472,Operating Activities,Transaction 745
TXN00717,2024-12-17,Cash Inflow,11862,Investing Activities,Transaction 717
TXN00473,2024-04-17,Cash Inflow,3554,Financing Activities,Transaction 473
TXN00416,2024-02-20,Cash Inflow,13451,Investing Activities,Transaction 416
TXN00789,2025-02-27,Cash Outflow,19287,Operating Activities,Transaction 789
TXN00564,2024-07-17,Cash Inflow,16007,Financing Activities,Transaction 564
TXN00130,2023-05-10,Cash Outflow,16782,Investing Activities,Transaction 130
TXN00892,2025-06-10,Cash Inflow,15569,Financing Activities,Transaction 892
TXN00683,2024-11-13,Cash Inflow,15652,Investing Activities,Transaction 683
TXN00949,2025-08-06,Cash Outflow,4411,Investing Activities,Transaction 949
TXN00003,2023-01-03,Cash Inflow,5820,Operating Activities,Transaction 3
TXN00403,2024-02-07,Cash Inflow,2125,Operating Activities,Transaction 403
TXN00036,2023-02-05,Cash Inflow,10360,Operating Activities,Transaction 36
TXN00487,2024-05-01,Cash Inflow,4925,Investing Activities,Transaction 487
TXN00511,2024-05-25,Cash Inflow,16017,Investing Activities,Transaction 511
TXN00959,2025-08-16,Cash Outflow,9101,Operating Activities,Transaction 959
TXN00323,2023-11-19,Cash Outflow,11289,Investing Activities,Transaction 323
TXN00893,2025-06-11,Cash Inflow,12036,Operating Activities,Transaction 893
TXN00166,2023-06-15,Cash Inflow,3586,Financing Activities,Transaction 166
TXN00932,2025-07-20,Cash Outflow,10933,Financing Activities,Transaction 932
TXN00197,2023-07-16,Cash Outflow,16179,Investing Activities,Transaction 197
TXN00199,2023-07-18,Cash Inflow,10667,Operating Activities,Transaction 199
TXN00319,2023-11-15,Cash Inflow,9946,Investing Activities,Transaction 319
TXN00625,2024-09-16,Cash Inflow,2000,Financing Activities,Transaction 625
TXN00750,2025-01-19,Cash Outflow,10403,Financing Activities,Transaction 750
TXN00009,2023-01-09,Cash Inflow,6213,Investing Activities,Transaction 9
TXN00566,2024-07-19,Cash Outflow,2262,Operating Activities,Transaction 566
TXN00002,2023-01-02,Cash Outflow,7812,Investing Activities,Transaction 2
TXN00736,2025-01-05,Cash Inflow,5516,Investing Activities,Transaction 736
TXN00150,2023-05-30,Cash Outflow,17248,Financing Activities,Transaction 150
TXN00106,2023-04-16,Cash Outflow,6738,Operating Activities,Transaction 106
TXN00749,2025-01-18,Cash Inflow,8728,Investing Activities,Transaction 749
TXN00349,2023-12-15,Cash Outflow,1293,Operating Activities,Transaction 349
TXN00351,2023-12-17,Cash Outflow,6279,Financing Activities,Transaction 351
TXN00471,2024-04-15,Cash Inflow,7222,Financing Activities,Transaction 471
TXN00071,2023-03-12,Cash Outflow,7496,Investing Activities,Transaction 71
TXN00563,2024-07-16,Cash Inflow,9442,Operating Activities,Transaction 563
TXN00583,2024-08-05,Cash Outflow,18523,Investing Activities,Transaction 583
TXN00997,2025-09-23,Cash Inflow,2571,Financing Activities,Transaction 997
TXN00078,2023-03-19,Cash Outflow,10021,Operating Activities,Transaction 78
TXN00295,2023-10-22,Cash Outflow,10010,Financing Activities,Transaction 295
TXN00241,2023-08-29,Cash Outflow,6733,Operating Activities,Transaction 241
TXN00352,2023-12-18,Cash Inflow,12798,Financing Activities,Transaction 352
TXN00545,2024-06-28,Cash Inflow,9146,Financing Activities,Transaction 545
TXN00834,2025-04-13,Cash Outflow,12245,Operating Activities,Transaction 834
TXN00960,2025-08-17,Cash Inflow,1394,Investing Activities,Transaction 960
TXN00568,2024-07-21,Cash Outflow,12612,Investing Activities,Transaction 568
TXN00886,2025-06-04,Cash Inflow,6155,Financing Activities,Transaction 886
TXN00221,2023-08-09,Cash Inflow,14543,Operating Activities,Transaction 221
TXN00151,2023-05-31,Cash Inflow,7309,Investing Activities,Transaction 151
TXN00133,2023-05-13,Cash Inflow,10953,Operating Activities,Transaction 133
TXN00405,2024-02-09,Cash Outflow,8473,Financing Activities,Transaction 405
TXN00719,2024-12-19,Cash Outflow,10606,Operating Activities,Transaction 719
TXN00182,2023-07-01,Cash Inflow,6668,Operating Activities,Transaction 182
TXN00271,2023-09-28,Cash Outflow,735,Investing Activities,Transaction 271
TXN00217,2023-08-05,Cash Outflow,9611,Operating Activities,Transaction 217
TXN00543,2024-06-26,Cash Inflow,14560,Investing Activities,Transaction 543
TXN00530,2024-06-13,Cash Outflow,16958,Operating Activities,Transaction 530
TXN00094,2023-04-04,Cash Outflow,14888,Investing Activities,Transaction 94
TXN00521,2024-06-04,Cash Outflow,4533,Financing Activities,Transaction 521
TXN00367,2024-01-02,Cash Outflow,15828,Financing Activities,Transaction 367
TXN00011,2023-01-11,Cash Inflow,5304,Investing Activities,Transaction 11
TXN00337,2023-12-03,Cash Inflow,6859,Financing Activities,Transaction 337
TXN00024,2023-01-24,Cash Outflow,7438,Financing Activities,Transaction 24
