SaleID,Customer ID,SaleDate,Invoice Date,Payment Date,Invoice Amount,Payment Amount,Due Date,Invoice Amount,QuantitySold,UnitPrice,TransactionID,TransactionDate,TransactionType,Amount,Category,Description
SALE00001,CUST010,2023-01-01,2023-09-01,2023-01-30,55289.66,65133.63,2023-04-25,55289.66,100,95.14,TXN00001,2023-01-01,Cash Inflow,153370,Investing Activities,Transaction 1
SALE00002,CUST044,2023-01-02,2023-12-11,2023-09-10,17892.84,23899.73,2023-09-29,17892.84,114,387.72,TXN00002,2023-01-02,Cash Outflow,46872,Investing Activities,Transaction 2
SALE00003,CUST011,2023-01-03,2023-07-22,2023-05-25,38055.71,31996.71,2023-02-25,38055.71,136,474.18,TXN00003,2023-01-03,Cash Inflow,46560,Operating Activities,Transaction 3
SALE00004,CUST079,2023-01-04,2023-09-11,2023-01-24,26711.420000000002,20850.58,2023-07-19,26711.420000000002,126,91.53,TXN00004,2023-01-04,Cash Inflow,82296,Financing Activities,Transaction 4
SALE00005,CUST080,2023-01-05,2023-12-05,2023-04-18,54176.76,53505.47,2023-11-05,54176.76,126,387.78,TXN00005,2023-01-05,Cash Inflow,29511,Operating Activities,Transaction 5
SALE00006,CUST081,2023-01-06,2023-12-30,2023-03-19,58854.659999999996,65939.7,2023-01-07,58854.659999999996,99,357.2,TXN00006,2023-01-06,Cash Outflow,195888,Investing Activities,Transaction 6
SALE00007,CUST090,2023-01-07,2023-07-01,2023-06-21,63180.81,51508.06,2023-07-13,63180.81,460,242.05,TXN00007,2023-01-07,Cash Inflow,20810,Operating Activities,Transaction 7
SALE00008,CUST002,2023-01-08,2023-03-20,2023-01-08,43494.44,36240.490000000005,2023-05-23,43494.44,7,38.38,TXN00008,2023-01-08,Cash Inflow,92239,Investing Activities,Transaction 8
SALE00009,CUST050,2023-01-09,2023-08-28,2023-08-24,78683.42,81790.71,2023-08-10,78683.42,630,46.6,TXN00009,2023-01-09,Cash Inflow,86982,Investing Activities,Transaction 9
SALE00010,CUST012,2023-01-10,2023-03-20,2023-07-25,64339.85,71643.98,2023-05-14,64339.85,169,427.68,TXN00010,2023-01-10,Cash Outflow,222807,Financing Activities,Transaction 10
SALE00011,CUST090,2023-01-11,2023-07-01,2023-06-21,63180.81,51508.06,2023-07-13,63180.81,40,495.17,TXN00011,2023-01-11,Cash Inflow,53040,Investing Activities,Transaction 11
SALE00012,CUST023,2023-01-12,2023-09-15,2023-12-16,61594.92,46022.24,2023-11-23,61594.92,11,341.27,TXN00012,2023-01-12,Cash Inflow,205942,Investing Activities,Transaction 12
SALE00013,CUST018,2023-01-13,2023-12-18,2023-07-23,55292.41,58203.32,2023-10-19,55292.41,539,228.52,TXN00013,2023-01-13,Cash Inflow,116996,Financing Activities,Transaction 13
SALE00014,CUST062,2023-01-14,2023-11-18,2023-01-08,61982.12,59561.68,2023-06-11,61982.12,440,327.31,TXN00014,2023-01-14,Cash Inflow,5599,Investing Activities,Transaction 14
SALE00015,CUST096,2023-01-15,2023-02-02,2023-04-10,98274.66,96684.33,2023-05-11,98274.66,544,301.25,TXN00015,2023-01-15,Cash Outflow,335835,Financing Activities,Transaction 15
SALE00016,CUST062,2023-01-16,2023-11-18,2023-01-08,61982.12,59561.68,2023-06-11,61982.12,374,197.97,TXN00016,2023-01-16,Cash Inflow,61864,Financing Activities,Transaction 16
SALE00017,CUST038,2023-01-17,2023-08-17,2023-08-09,77342.49,80071.72,2023-04-26,77342.49,420,42.16,TXN00017,2023-01-17,Cash Outflow,22725,Investing Activities,Transaction 17
SALE00018,CUST067,2023-01-18,2023-08-13,2023-07-15,39448.68,34502.35,2023-06-17,39448.68,248,412.54,TXN00018,2023-01-18,Cash Outflow,21544,Investing Activities,Transaction 18
SALE00019,CUST038,2023-01-19,2023-08-17,2023-08-09,77342.49,80071.72,2023-04-26,77342.49,120,192.2,TXN00019,2023-01-19,Cash Outflow,133725,Operating Activities,Transaction 19
SALE00020,CUST067,2023-01-20,2023-08-13,2023-07-15,39448.68,34502.35,2023-06-17,39448.68,312,411.2,TXN00020,2023-01-20,Cash Inflow,112400,Financing Activities,Transaction 20
SALE00021,CUST094,2023-01-21,2023-06-05,2023-05-02,76021.94,78405.37,2023-03-16,76021.94,338,133.73,TXN00021,2023-01-21,Cash Outflow,195156,Operating Activities,Transaction 21
SALE00022,CUST061,2023-01-22,2023-06-28,2023-01-15,49205.41,60727.63,2023-08-15,49205.41,340,10.5,TXN00022,2023-01-22,Cash Inflow,46580,Investing Activities,Transaction 22
SALE00023,CUST001,2023-01-23,2023-01-19,2023-11-15,34792.41,34519.6,2023-09-16,34792.41,33,87.88,TXN00023,2023-01-23,Cash Outflow,82170,Operating Activities,Transaction 23
SALE00024,CUST094,2023-01-24,2023-06-05,2023-05-02,76021.94,78405.37,2023-03-16,76021.94,156,239.58,TXN00024,2023-01-24,Cash Outflow,96694,Financing Activities,Transaction 24
SALE00025,CUST045,2023-01-25,2023-05-02,2023-09-15,15444.67,21759.89,2023-01-28,15444.67,6,472.71,TXN00025,2023-01-25,Cash Outflow,85632,Operating Activities,Transaction 25
SALE00026,CUST096,2023-01-26,2023-02-02,2023-04-10,98274.66,96684.33,2023-05-11,98274.66,748,60.07,TXN00026,2023-01-26,Cash Outflow,314789,Financing Activities,Transaction 26
SALE00027,CUST028,2023-01-27,2023-09-12,2023-06-23,40126.62,49207.75,2023-01-11,40126.62,55,428.56,TXN00027,2023-01-27,Cash Outflow,119284,Investing Activities,Transaction 27
SALE00028,CUST021,2023-01-28,2023-04-02,2023-10-16,89729.16,79997.27,2023-07-09,89729.16,450,268.24,TXN00028,2023-01-28,Cash Outflow,116490,Investing Activities,Transaction 28
SALE00029,CUST013,2023-01-29,2023-06-29,2023-05-31,28898.899999999998,27185.260000000002,2023-08-18,28898.899999999998,180,414.7,TXN00029,2023-01-29,Cash Outflow,55212,Financing Activities,Transaction 29
SALE00030,CUST027,2023-01-30,2023-08-02,2023-06-03,84024.76,75951.49,2023-11-27,84024.76,238,156.2,TXN00030,2023-01-30,Cash Outflow,12376,Investing Activities,Transaction 30
SALE00031,CUST100,2023-01-31,2023-07-14,2023-10-05,31620.24,29781.05,2023-03-26,31620.24,288,421.57,TXN00031,2023-01-31,Cash Inflow,5424,Investing Activities,Transaction 31
SALE00032,CUST007,2023-02-01,2023-05-17,2023-08-20,75486.02,87075.77,2023-05-15,75486.02,611,388.68,TXN00032,2023-02-01,Cash Inflow,112775,Investing Activities,Transaction 32
SALE00033,CUST022,2023-02-02,2023-02-07,2023-06-02,45090.32,47396.95,2023-04-15,45090.32,184,122.73,TXN00033,2023-02-02,Cash Outflow,125264,Investing Activities,Transaction 33
SALE00034,CUST074,2023-02-03,2023-05-15,2023-07-10,29881.460000000003,27693.14,2023-04-13,29881.460000000003,90,74.35,TXN00034,2023-02-03,Cash Outflow,79578,Financing Activities,Transaction 34
SALE00035,CUST053,2023-02-04,2023-08-10,2023-05-31,62128.03,50952.21,2023-02-01,62128.03,370,435.35,TXN00035,2023-02-04,Cash Outflow,188840,Operating Activities,Transaction 35
SALE00036,CUST079,2023-02-05,2023-09-11,2023-01-24,26711.420000000002,20850.58,2023-07-19,26711.420000000002,126,481.99,TXN00036,2023-02-05,Cash Inflow,62160,Operating Activities,Transaction 36
