Customer ID,Invoice Date,Invoice Amount,Due Date,Payment Date,Payment Amount,Payment Terms,Invoice Status
CUST053,2023-08-10 20:28:43,7774.61,2023-02-01 19:11:25,,8776.51,Net 60,Outstanding
CUST008,2023-09-15 21:15:38,9840.78,2023-07-07 18:46:06,2023-08-07 23:03:40,9840.78,Net 60,Paid
CUST072,2023-06-16 00:32:31,3585.99,2023-12-21 18:00:26,2023-05-12 16:51:40,4189.02,Net 30,Outstanding
CUST003,2023-07-25 17:05:46,8790.69,2023-08-12 17:20:21,2023-08-27 23:34:27,8790.69,Net 90,Paid
CUST094,2023-06-05 06:35:14,5127.11,2023-03-16 19:11:06,2023-05-02 04:23:12,6579.8,Net 60,Outstanding
CUST029,2023-02-08 10:59:59,3427.12,2023-07-21 05:22:56,2023-08-10 02:35:55,3427.12,Net 30,Paid
CUST069,2023-06-24 00:08:38,7592.42,2023-11-21 23:07:04,,2097.35,Net 90,Outstanding
CUST082,2023-09-09 12:22:19,1080.23,2023-08-17 23:20:54,2023-09-18 21:02:16,3007.29,Net 90,Outstanding
CUST100,2023-07-14 02:07:22,8961.35,2023-03-26 14:57:35,,8961.35,Net 60,Paid
CUST085,2023-02-24 21:26:36,4803.46,2023-01-05 12:59:39,,4803.46,Net 60,Paid
CUST018,2023-12-18 18:13:51,5882.51,2023-10-19 10:12:28,2023-07-23 13:36:57,5957.12,Net 30,Outstanding
CUST072,2023-02-12 14:02:20,8024.75,2023-05-15 12:35:36,2023-08-09 15:39:08,8024.75,Net 90,Paid
CUST092,2023-09-29 22:39:39,3176.74,2023-06-04 00:42:13,2023-03-10 13:37:26,4166.73,Net 30,Outstanding
CUST066,2023-10-02 14:02:36,8776.15,2023-09-06 03:07:51,2023-08-08 03:48:21,8776.15,Net 60,Paid
CUST066,2023-04-02 11:28:18,6315.33,2023-03-16 07:42:03,2023-10-20 17:39:42,1317.36,Net 90,Outstanding
CUST004,2023-05-22 06:06:13,6136.88,2023-02-28 20:37:09,2023-04-08 15:53:46,6136.88,Net 30,Paid
CUST036,2023-11-28 22:30:08,2930.93,2023-03-16 23:30:59,2023-03-16 20:35:46,2930.93,Net 90,Paid
CUST051,2023-07-15 14:10:36,4710.37,2023-12-28 10:52:38,2023-01-14 04:49:05,5246.65,Net 60,Outstanding
