SaleID,Customer ID,SaleDate,Invoice Date,Payment Date,Invoice Amount,Payment Amount,Due Date,QuantitySold,UnitPrice,TransactionID,TransactionDate,TransactionType,Amount,Category,Description,DaysToCollect,DaysToPay,DaysToCollect_avg_DSO,DaysToPay_avg_DPO,InventoryTurnover
SALE00001,CUST010,2023-01-01,2023-09-01,2023-01-30,55289.66,65133.63,2023-04-25,100,95.14,TXN00001,2023-01-01,Cash Inflow,153370,Investing Activities,Transaction 1,-214,-214,-214.0,-214.0,100
SALE00121,CUST010,2023-05-01,2023-09-01,2023-01-30,55289.66,65133.63,2023-04-25,170,474.2,TXN00121,2023-05-01,Cash Outflow,44000,Investing Activities,Transaction 121,-214,-214,-214.0,-214.0,170
SALE00277,CUST010,2023-10-04,2023-09-01,2023-01-30,55289.66,65133.63,2023-04-25,490,292.82,TXN00277,2023-10-04,Cash Inflow,195190,Financing Activities,Transaction 277,-214,-214,-214.0,-214.0,490
SALE00296,CUST010,2023-10-23,2023-09-01,2023-01-30,55289.66,65133.63,2023-04-25,300,194.08,TXN00296,2023-10-23,Cash Outflow,74430,Financing Activities,Transaction 296,-214,-214,-214.0,-214.0,300
SALE00323,CUST010,2023-11-19,2023-09-01,2023-01-30,55289.66,65133.63,2023-04-25,330,243.58,TXN00323,2023-11-19,Cash Outflow,112890,Investing Activities,Transaction 323,-214,-214,-214.0,-214.0,330
SALE00423,CUST010,2024-02-27,2023-09-01,2023-01-30,55289.66,65133.63,2023-04-25,230,44.27,TXN00423,2024-02-27,Cash Outflow,52570,Financing Activities,Transaction 423,-214,-214,-214.0,-214.0,230
SALE00610,CUST010,2024-09-01,2023-09-01,2023-01-30,55289.66,65133.63,2023-04-25,450,28.63,TXN00610,2024-09-01,Cash Outflow,143490,Operating Activities,Transaction 610,-214,-214,-214.0,-214.0,450
SALE00673,CUST010,2024-11-03,2023-09-01,2023-01-30,55289.66,65133.63,2023-04-25,350,489.41,TXN00673,2024-11-03,Cash Outflow,25500,Financing Activities,Transaction 673,-214,-214,-214.0,-214.0,350
SALE00921,CUST010,2025-07-09,2023-09-01,2023-01-30,55289.66,65133.63,2023-04-25,400,310.6,TXN00921,2025-07-09,Cash Inflow,165190,Investing Activities,Transaction 921,-214,-214,-214.0,-214.0,400
SALE00002,CUST044,2023-01-02,2023-12-11,2023-09-10,17892.84,23899.73,2023-09-29,114,387.72,TXN00002,2023-01-02,Cash Outflow,46872,Investing Activities,Transaction 2,-92,-92,-92.0,-92.0,114
SALE00169,CUST044,2023-06-18,2023-12-11,2023-09-10,17892.84,23899.73,2023-09-29,60,203.8,TXN00169,2023-06-18,Cash Inflow,37500,Operating Activities,Transaction 169,-92,-92,-92.0,-92.0,60
