ItemID,ItemName,Category,QuantityOnHand,ReorderLevel,ReorderQuantity,UnitPrice,SupplierID,LastOrderDate,LastReceivedDate,ExpirationDate,Location
ITEM00818,Item L,Widgets,157,48,224,71.56,SUP006,2038-08-29,2038-09-06,2040-07-29,L7
ITEM00511,Item Q,Parts,236,52,55,45.56,SUP040,2032-10-10,2032-10-15,2034-09-14,Q0
ITEM00001,Item A,Components,460,16,176,99.06,SUP023,2023-01-01,2023-01-09,2024-11-13,A0
ITEM00840,Item H,Parts,443,95,91,82.77,SUP055,2039-01-30,2039-02-06,2041-01-24,H9
ITEM00457,Item O,Materials,159,86,117,53.89,SUP070,2031-09-28,2031-10-03,2032-12-05,O6
ITEM00448,Item F,Widgets,372,44,69,78.43,SUP079,2031-07-27,2031-08-05,2033-04-11,F7
ITEM00068,Item P,Gadgets,427,45,147,72.34,SUP038,2024-04-14,2024-04-17,2025-09-05,P7
ITEM00550,Item D,Gadgets,187,23,146,45.46,SUP057,2033-07-10,2033-07-13,2034-09-19,D9
ITEM00635,Item K,Widgets,332,48,274,59.43,SUP091,2035-02-25,2035-03-01,2036-10-14,K4
ITEM00612,Item N,Widgets,227,61,207,77.3,SUP048,2034-09-17,2034-09-18,2036-01-25,N1
ITEM00296,Item J,Materials,287,45,82,81.0,SUP044,2028-08-27,2028-08-29,2029-08-31,J5
ITEM00045,Item S,Gadgets,309,72,283,58.74,SUP053,2023-11-05,2023-11-12,2025-08-24,S4
ITEM00548,Item B,Gadgets,452,42,197,18.23,SUP074,2033-06-26,2033-07-05,2035-02-08,B7
ITEM00519,Item Y,Materials,414,91,267,21.24,SUP017,2032-12-05,2032-12-11,2034-05-06,Y8
ITEM00863,Item E,Parts,208,46,190,43.47,SUP098,2039-07-10,2039-07-17,2040-12-01,E2
ITEM00623,Item Y,Components,98,80,271,87.5,SUP094,2034-12-03,2034-12-11,2036-02-22,Y2
ITEM00301,Item O,Materials,268,30,115,25.33,SUP087,2028-10-01,2028-10-09,2030-06-18,O0
ITEM00449,Item G,Widgets,423,96,150,13.31,SUP094,2031-08-03,2031-08-12,2033-07-08,G8
ITEM00179,Item W,Materials,495,89,52,18.99,SUP044,2026-05-31,2026-06-08,2028-03-20,W8
ITEM00479,Item K,Materials,409,39,142,63.17,SUP007,2032-02-29,2032-03-07,2033-12-25,K8
ITEM00896,Item L,Materials,236,92,96,14.13,SUP036,2040-02-26,2040-03-02,2041-10-29,L5
